Rank,Name,Genre,ESRB_Rating,Publisher,Developer,VGChartz_Score,Critic_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,status,Vgchartzscore,img_url,serial,Platform,url
13969.0,Subnautica,Adventure,,Gearbox Software,Unknown Worlds Entertainment,,,,0.06,,,0.01,2018.0,16th Jul 18,1.0,,/games/boxart/full_8525080AmericaFrontccc.jpg,5364320744,XOne,http://www.vgchartz.com/game/222356/subnautica/?region=All
608.0,1-2-Switch,Party,E10,Nintendo,Nintendo EPD,,5.7,2.86,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_3991269AmericaFrontccc.jpg,2733547741,NS,http://www.vgchartz.com/game/153115/1-2-switch/?region=All
610.0,Yokai Watch,Role-Playing,E10,Nintendo,Level 5,,7.7,2.86,,,,,2015.0,05th Jan 18,1.0,,/games/boxart/full_3660425AmericaFrontccc.png,7671241286,3DS,http://www.vgchartz.com/game/72232/yokai-watch/?region=All
612.0,Prison Architect,Simulation,M,Introversion Software,Introversion Software,,,2.86,,,,,2015.0,18th Aug 18,1.0,,/games/boxart/full_435104PALFrontccc.jpg,4749048643,PC,http://www.vgchartz.com/game/109949/prison-architect/?region=All
15367.0,Prison Architect,Simulation,M,Introversion Software,Introversion Software,,,,0.02,0.02,,0.01,2016.0,18th Aug 18,1.0,,/games/boxart/full_6770094AmericaFrontccc.jpg,2127214574,PS4,http://www.vgchartz.com/game/109947/prison-architect/?region=All
17570.0,Prison Architect,Simulation,M,Introversion Software,Introversion Software,,,,0.02,,,0.0,2016.0,18th Aug 18,1.0,,/games/boxart/full_3123868AmericaFrontccc.jpg,2010266445,XOne,http://www.vgchartz.com/game/109948/prison-architect/?region=All
614.0,Fire Emblem Fates,Role-Playing,T,Nintendo,Intelligent Systems,,,2.85,,,,,2016.0,31st Dec 17,1.0,,/games/boxart/full_7812017JapanFrontccc.jpg,5748119154,3DS,http://www.vgchartz.com/game/85716/fire-emblem-fates/?region=All
627.0,Diablo III: Ultimate Evil Edition,Role-Playing,M,Blizzard Entertainment,Blizzard Entertainment,,,,0.83,1.48,0.08,0.44,2014.0,25th Mar 19,1.0,,/games/boxart/full_3702821AmericaFrontccc.jpg,6263165571,PS4,http://www.vgchartz.com/game/71538/diablo-iii-ultimate-evil-edition/?region=All
2318.0,Diablo III: Ultimate Evil Edition,Role-Playing,M,Blizzard Entertainment,Blizzard Entertainment,,,,0.62,0.32,,0.09,2014.0,25th Mar 19,1.0,,/games/boxart/full_1907423AmericaFrontccc.jpg,4288090129,XOne,http://www.vgchartz.com/game/83198/diablo-iii-ultimate-evil-edition/?region=All
53446.0,Diablo III: Ultimate Evil Edition,Role-Playing,M,Blizzard Entertainment,Blizzard Entertainment,,,,,,,,2014.0,22nd Jan 18,1.0,,/games/boxart/full_3481798AmericaFrontccc.jpg,2994440084,X360,http://www.vgchartz.com/game/220865/diablo-iii-ultimate-evil-edition/?region=All
53447.0,Diablo III: Ultimate Evil Edition,Role-Playing,M,Blizzard Entertainment,Blizzard Entertainment,,,,,,,,2014.0,25th Mar 19,1.0,,/games/boxart/full_7081182AmericaFrontccc.jpg,1811835304,PS3,http://www.vgchartz.com/game/220866/diablo-iii-ultimate-evil-edition/?region=All
650.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,2.76,,,,,2014.0,06th Aug 18,1.0,,/games/boxart/full_8274221AmericaFrontccc.jpg,1027269257,PC,http://www.vgchartz.com/game/96810/the-binding-of-isaac-rebirth/?region=All
47993.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,,,,,,2015.0,06th Aug 18,1.0,,/games/boxart/full_8150250AmericaFrontccc.jpg,3770833414,XOne,http://www.vgchartz.com/game/96807/the-binding-of-isaac-rebirth/?region=All
47994.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,,,,,,2014.0,06th Aug 18,1.0,,/games/boxart/full_6588637AmericaFrontccc.jpg,4264453858,Linux,http://www.vgchartz.com/game/96808/the-binding-of-isaac-rebirth/?region=All
47995.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,,,,,,2014.0,06th Aug 18,1.0,,/games/boxart/full_1962048AmericaFrontccc.jpg,4667083671,OSX,http://www.vgchartz.com/game/96809/the-binding-of-isaac-rebirth/?region=All
47996.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,,,,,,2014.0,06th Aug 18,1.0,,/games/boxart/full_7594100AmericaFrontccc.jpg,7265236562,PS4,http://www.vgchartz.com/game/96811/the-binding-of-isaac-rebirth/?region=All
47997.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,,,,,,2015.0,06th Aug 18,1.0,,/games/boxart/full_3133972AmericaFrontccc.png,1576901100,WiiU,http://www.vgchartz.com/game/96812/the-binding-of-isaac-rebirth/?region=All
47998.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,,,,,,2015.0,06th Aug 18,1.0,,/games/boxart/full_8885903AmericaFrontccc.png,8208604126,3DS,http://www.vgchartz.com/game/96813/the-binding-of-isaac-rebirth/?region=All
47999.0,The Binding of Isaac: Rebirth,Action,,Nicalis,Nicalis,,,,,,,,2014.0,06th Aug 18,1.0,8.8,/games/boxart/full_4029062AmericaFrontccc.jpg,3776874293,PSV,http://www.vgchartz.com/game/96814/the-binding-of-isaac-rebirth/?region=All
656.0,Far Cry: Primal,Action-Adventure,M,Ubisoft,Ubisoft Montreal,,7.2,,0.63,1.61,0.07,0.41,2016.0,03rd Apr 18,1.0,,/games/boxart/full_7928945AmericaFrontccc.jpg,9448678312,PS4,http://www.vgchartz.com/game/85944/far-cry-primal/?region=All
2385.0,Far Cry: Primal,Action-Adventure,M,Ubisoft,Ubisoft Montreal,,7.8,,0.51,0.41,,0.09,2016.0,03rd Apr 18,1.0,,/games/boxart/full_2048466AmericaFrontccc.jpg,5982167326,XOne,http://www.vgchartz.com/game/85945/far-cry-primal/?region=All
7782.0,Far Cry: Primal,Action-Adventure,M,Ubisoft,Ubisoft Montreal,,8.0,,0.07,0.16,,0.02,2016.0,03rd Apr 18,1.0,,/games/boxart/full_4756749AmericaFrontccc.jpg,4064817121,PC,http://www.vgchartz.com/game/85943/far-cry-primal/?region=All
657.0,"Pokemon: Let's Go, Eevee!",Role-Playing,E,Nintendo,Game Freak,,8.3,,1.22,0.8,0.51,0.2,2018.0,14th Nov 18,1.0,,/games/boxart/full_6673831AmericaFrontccc.jpg,9422454759,NS,http://www.vgchartz.com/game/222025/pokemon-lets-go-eevee/?region=All
659.0,Need for Speed (2015),Racing,T,Electronic Arts,Ghost Games,,7.0,,0.59,1.66,0.06,0.41,2015.0,03rd Apr 18,1.0,,/games/boxart/full_3739493AmericaFrontccc.jpg,5371068553,PS4,http://www.vgchartz.com/game/85621/need-for-speed-2015/?region=All
3210.0,Need for Speed (2015),Racing,T,Electronic Arts,Ghost Games,,6.7,,0.35,0.33,,0.06,2015.0,03rd Apr 18,1.0,,/games/boxart/full_8263580AmericaFrontccc.jpg,5595826766,XOne,http://www.vgchartz.com/game/85622/need-for-speed-2015/?region=All
15081.0,Need for Speed (2015),Racing,T,Electronic Arts,Ghost Games,,,,,0.05,,0.0,2016.0,03rd Apr 18,1.0,,/games/boxart/full_9014883AmericaFrontccc.jpg,9813945713,PC,http://www.vgchartz.com/game/85620/need-for-speed-2015/?region=All
663.0,Divinity: Original Sin,Misc,,Focus Home Interactive,Unknown,,,2.71,,,,,2015.0,,1.0,,/games/boxart/full_7587303AmericaFrontccc.jpg,2126283951,PC,http://www.vgchartz.com/game/73289/divinity-original-sin/?region=All
6184.0,Divinity: Original Sin,Role-Playing,,Focus Home Interactive,Larian Studios,,,,0.13,0.13,0.04,0.05,2015.0,,1.0,,/games/boxart/full_4559745AmericaFrontccc.jpg,5307558077,PS4,http://www.vgchartz.com/game/85624/divinity-original-sin/?region=All
12466.0,Divinity: Original Sin,Role-Playing,,Focus Home Interactive,Larian Studios,,,,0.06,0.03,,0.01,2015.0,,1.0,,/games/boxart/full_8576053AmericaFrontccc.jpg,7783563164,XOne,http://www.vgchartz.com/game/85623/divinity-original-sin/?region=All
672.0,Mario Party: Island Tour,Party,E,Nintendo,"Nd Cube Co., Ltd.",,5.5,2.68,,,,,2013.0,11th May 18,1.0,,/games/boxart/full_851795PALFrontccc.jpg,1414518542,3DS,http://www.vgchartz.com/game/75427/mario-party-island-tour/?region=All
690.0,NBA 2K19,Sports,E,2K Sports,Visual Concepts,,,,1.69,0.44,0.03,0.47,2018.0,26th Sep 18,1.0,,/games/boxart/full_46159AmericaFrontccc.jpg,3900355704,PS4,http://www.vgchartz.com/game/222084/nba-2k19/?region=All
1209.0,NBA 2K19,Sports,E,2K Sports,Visual Concepts,,,,1.47,0.08,,0.18,2018.0,28th Jul 18,1.0,,/games/boxart/full_1055578AmericaFrontccc.jpg,5974893021,XOne,http://www.vgchartz.com/game/222083/nba-2k19/?region=All
6703.0,NBA 2K19,Sports,,2K Sports,Visual Concepts,,,,0.24,0.02,0.01,0.03,2018.0,08th Jun 18,1.0,,/games/boxart/full_1194945AmericaFrontccc.jpg,7951995065,NS,http://www.vgchartz.com/game/222085/nba-2k19/?region=All
54343.0,NBA 2K19,Sports,E,2K Sports,Visual Concepts,,,,,,,,2018.0,28th Jul 18,1.0,,/games/boxart/full_9955023AmericaFrontccc.jpg,4250420706,PC,http://www.vgchartz.com/game/222086/nba-2k19/?region=All
692.0,Madden NFL 18,Sports,E,EA Sports,EA Tiburon,,8.2,,1.73,0.42,,0.47,2017.0,03rd Apr 18,1.0,,/games/boxart/full_5597772AmericaFrontccc.jpg,5246770250,PS4,http://www.vgchartz.com/game/158152/madden-nfl-18/?region=All
1077.0,Madden NFL 18,Sports,E,EA Sports,EA Tiburon,,8.8,,1.63,0.07,,0.2,2017.0,03rd Apr 18,1.0,,/games/boxart/full_1453628AmericaFrontccc.jpg,6939763130,XOne,http://www.vgchartz.com/game/158153/madden-nfl-18/?region=All
696.0,Dead Rising 3,Action,M,Microsoft Studios,Capcom,,,2.6,,,,,2013.0,24th Mar 18,1.0,7.9,/games/boxart/full_626152AmericaFrontccc.jpg,5685136406,XOne,http://www.vgchartz.com/game/73076/dead-rising-3/?region=All
698.0,Monster Hunter 3G,Role-Playing,T,Capcom,Capcom,,7.6,2.6,,,,,2013.0,05th Jan 18,1.0,,/games/boxart/full_monster-hunter-tri-g_515JapanFront.jpg,6232043209,3DS,http://www.vgchartz.com/game/62700/monster-hunter-3g/?region=All
